c_fail,c_rescued,c_extra_walk,both_failed,horizon,axis,cutoff,dest,ts_kst,changed,top1_changed,a_fail,b_fail,rescued,harmed,extra_walk,extra_fare,n_candidates,dropped_candidates
0,0,0,0,15,walk,0.4,안양시청,2026-09-03 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.5,안양시청,2026-09-03 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.6,안양시청,2026-09-03 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.4,안양시청,2026-09-03 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.5,안양시청,2026-09-03 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.6,안양시청,2026-09-03 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.4,안양시청,2026-09-03 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-03 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-03 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-03 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-03 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-03 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-03 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-03 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-03 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-03 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-03 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-03 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-03 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-03 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-03 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-03 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-03 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-03 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-03 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-03 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-03 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-03 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-03 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-03 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-04 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.5,안양시청,2026-09-04 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.6,안양시청,2026-09-04 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.4,안양시청,2026-09-04 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.5,안양시청,2026-09-04 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.6,안양시청,2026-09-04 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.4,안양시청,2026-09-04 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-04 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-04 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-04 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-04 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-04 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-04 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-04 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-04 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-04 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-04 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-04 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-04 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-04 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-04 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-04 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-04 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-04 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-04 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-04 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-04 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-04 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-04 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-04 16:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-07 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.5,안양시청,2026-09-07 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.6,안양시청,2026-09-07 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.4,안양시청,2026-09-07 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.5,안양시청,2026-09-07 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,fare,0.6,안양시청,2026-09-07 08:00:00,0,0,0,0,0,0,0,0,3,5
0,0,0,0,15,walk,0.4,안양시청,2026-09-07 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-07 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-07 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-07 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-07 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-07 10:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-07 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-07 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-07 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-07 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-07 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.6,안양시청,2026-09-07 12:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.4,안양시청,2026-09-07 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.5,안양시청,2026-09-07 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,walk,0.6,안양시청,2026-09-07 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.4,안양시청,2026-09-07 14:00:00,0,0,0,0,0,0,0,0,4,4
0,0,0,0,15,fare,0.5,안양시청,2026-09-07 14:00:00,0,0,0,0,0,0,0,0,4,4
